feature:know-your-enemy	No proposed FX				Knowledge of a creature — no moment to play.
feature:leading-evasion	No proposed FX				A passive trait — no moment to play.
feature:lessons-of-the-first-ones	No proposed FX				An origin feat gained — each has its own record.
feature:life	No proposed FX				A subclass name, not an ability — nothing to play.
feature:life-domain	No proposed FX				A subclass name, not an ability — nothing to play.
feature:life-domain-spells	No proposed FX				A spell list — each spell has its own FX.
feature:lifedrinker	Close match	effect:regenerating	jb2a.markers.skull.purple.03	psfx.weapon-swooshes.necrotic.v1.group01	Lifedrinker: the pact weapon drinks and the warlock is healed.
feature:light-domain	No proposed FX				A subclass name, not an ability — nothing to play.
feature:light-domain-spells	No proposed FX				A spell list — each spell has its own FX.
feature:living-legend	Close match	effect:courageous	jb2a.condition.boon.01.001.yellow	psfx.conditions.boon.001.01	Living Legend: the paladin becomes the story.
feature:lunar-form	Close match	effect:starry-form	jb2a.markers.light.complete.blue	psfx.2nd-level-spells.moonbeam.intro.v1.001	Lunar Form: moonlight on the druid's blows.
feature:lunging-attack	Close match	effect:outlined	jb2a.melee_generic.slash.02.001.blue	psfx.impacts.slashing.v1	Lunging Attack: the fighter reaches further.
feature:mage-hand-legerdemain	Close match	spell:mage-armor	jb2a.markers.light.complete.purple	psfx.magic-signs.rune.v1.conjuration.intro	Mage Hand Legerdemain: the invisible hand works the lock.
feature:magical-ambush	No proposed FX				Disadvantage on a save while hidden — no moment of its own.
feature:magical-discoveries	No proposed FX				Spells learned — each has its own FX.
feature:magical-secrets	No proposed FX				Spells learned — each has its own FX.
feature:maneuvering-attack	Close match	effect:courageous	jb2a.markers.light.complete.yellow	psfx.impacts.slashing.v1	Manoeuvring Attack: an ally is moved.
feature:manipulate-elements	No proposed FX				A cantrip gained — it has its own FX.
feature:mantle-of-majesty	Close match	effect:charmed	jb2a.markers.light.complete.pink	psfx.magic-signs.circle.v1.enchantment.complete	Mantle of Majesty: the bard is unarguable.
feature:martial-arts	Close match	natural:unarmed-strike	jb2a.unarmed_strike.physical.01	psfx.impacts.bludgeoning.v1	Martial Arts: the monk's unarmed strike.
feature:martial-training	No proposed FX				A proficiency — no moment to play.
feature:mask-of-many-faces	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Mask of Many Faces: Disguise Self at will.
feature:master-of-myriad-forms	Close match	effect:bark-like-skin	jb2a.shimmer.01.green	psfx.magic-signs.rune.v1.transmutation.intro	Master of Myriad Forms: Alter Self at will.
feature:memorize-spell	No proposed FX				A spell swapped on a rest — no moment to play.
feature:menacing-attack	Close match	effect:frightened	jb2a.markers.fear.dark_purple.03	psfx.impacts.slashing.v1	Menacing Attack: the target is frightened.
feature:mindless-rage	No proposed FX				A passive trait of Rage, which has its own FX.
feature:misty-escape	Close match	spell:misty-step	jb2a.misty_step.01.purple	psfx.2nd-level-spells.misty-step.v1.complete.generic	Misty Escape: the warlock vanishes when hurt.
feature:misty-visions	Close match	spell:invisibility	jb2a.magic_signs.circle.02.illusion.complete.purple	psfx.magic-signs.circle.v1.illusion.complete	Misty Visions: Silent Image at will.
feature:misty-wanderer	Close match	spell:misty-step	jb2a.misty_step.01.green	psfx.2nd-level-spells.misty-step.v1.complete.generic	Misty Wanderer: Misty Step for free.
feature:monk	No proposed FX				A class name, not an ability — nothing to play.
feature:monks-focus	No proposed FX				A pool of focus points — no moment to play.
feature:mystic-arcanum	No proposed FX				A spell gained — it has its own FX.
feature:nature-speaker	No proposed FX				A passive trait — no moment to play.
feature:natures-sanctuary	Close match	spell:mage-armor	jb2a.magic_signs.circle.02.abjuration.loop.green	psfx.magic-signs.circle.v1.abjuration.loop	Nature's Sanctuary: a green ward on the ground.
feature:natures-veil	Close match	spell:invisibility	jb2a.shimmer.01.green	psfx.magic-signs.rune.v1.illusion.intro	Nature's Veil: the ranger steps out of sight.
feature:natures-ward	No proposed FX				A ward against a climate — no moment at the table.
feature:natures-wrath	Close match	effect:ensnared	jb2a.entangle.green	psfx.1st-level-spells.entangle.vines.v1.001.intro	Nature's Wrath: vines take everyone near.
feature:devotion	No proposed FX				A subclass name, not an ability — nothing to play.
feature:oath-of-devotion	No proposed FX				A subclass name, not an ability — nothing to play.
feature:oath-of-devotion-spells	No proposed FX				A spell list — each spell has its own FX.
feature:glory	No proposed FX				A subclass name, not an ability — nothing to play.
feature:oath-of-glory	No proposed FX				A subclass name, not an ability — nothing to play.
feature:oath-of-glory-spells	No proposed FX				A spell list — each spell has its own FX.
feature:ancients	No proposed FX				A subclass name, not an ability — nothing to play.
feature:oath-of-the-ancients	No proposed FX				A subclass name, not an ability — nothing to play.
feature:oath-of-the-ancients-spells	No proposed FX				A spell list — each spell has its own FX.
feature:oath-of-vengeance	No proposed FX				A subclass name, not an ability — nothing to play.
feature:vengeance	No proposed FX				A subclass name, not an ability — nothing to play.
feature:oath-of-vengeance-spells	No proposed FX				A spell list — each spell has its own FX.
feature:oceanic-gift	Close match	spell:cone-of-cold	jb2a.water_splash.circle.01.blue	psfx.casting.water.001	Oceanic Gift: the sea's cold comes off the druid.
feature:one-with-shadows	Close match	spell:invisibility	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	One with Shadows: Invisibility at will in dim light.
feature:open-hand-technique	Close match	effect:slowed	jb2a.impact.004.blue	psfx.impacts.bludgeoning.v1	Open Hand Technique: the flurry pushes, trips or holds.
feature:otherworldly-glamour	No proposed FX				A passive trait — no moment to play.
feature:otherworldly-leap	Close match	effect:jump	jb2a.wind_stream.400.white	psfx.magic-signs.rune.v1.transmutation.intro	Otherworldly Leap: Jump at will.
