item:magical-berries	Close match	spell:cure-wounds	jb2a.healing_generic.200px.green	psfx.consumables.food-and-drink.consume.food.bite.juicy.001	Goodberry: a berry eaten, a small green healing light.
spell:antilife-shell	Close match	spell:mage-armor	jb2a.antilife_shell.blue_with_circle	psfx.magic-signs.rune.v1.abjuration.intro	Antilife Shell: the shell JB2A drew for this exact spell.
spell:antimagic-field	Close match	spell:mage-armor	jb2a.wall_of_force.sphere.grey	psfx.magic-signs.circle.v1.abjuration.complete	Antimagic Field: a grey sphere where magic stops.
spell:aura-of-life	Close match	spell:bless	jb2a.template_circle.aura.01.loop.large.green	psfx.magic-signs.circle.v1.abjuration.intro	Aura of Life: a green aura held around the caster.
spell:aura-of-purity	Close match	spell:bless	jb2a.template_circle.aura.01.loop.large.yellow	psfx.magic-signs.circle.v1.abjuration.intro	Aura of Purity: a clean gold aura around the caster.
spell:aura-of-vitality	Close match	spell:cure-wounds	jb2a.healing_generic.loop.greenorange	psfx.1st-level-spells.cure-wounds.v1.001	Aura of Vitality: healing light held over the aura.
spell:banishing-smite	Close match	spell:spiritual-weapon	jb2a.divine_smite.target.purplepink	psfx.class-features.divine-smite.v1.001.target	A smite in force violet — one of seven smites, all built on the divine smite strike.
spell:barkskin	Close match	effect:bark-like-skin	jb2a.swirling_leaves.complete.01.green	psfx.casting.earth.001	Barkskin: bark closes over the skin. Its own effect already has an FX; this is the cast.
spell:blinding-smite	Close match	spell:spiritual-weapon	jb2a.divine_smite.target.yellowwhite	psfx.class-features.divine-smite.v1.001.target	A smite in blinding white.
spell:blur	Close match	spell:invisibility	jb2a.shimmer.01.blue	psfx.magic-signs.circle.v1.illusion.intro	Blur: the outline goes soft.
spell:conjure-minor-elementals	Close match	spell:conjure-animals	jb2a.magic_signs.circle.02.conjuration.complete.dark_red	psfx.magic-signs.circle.v1.conjuration.complete	A conjuration circle at the caster, as Conjure Animals already reads.
