effect:acrobatic-guidance	Close match	effect:divine-favor	jb2a.markers.light.complete.blue	psfx.magic-signs.rune.v1.divination.intro	Guidance: a small light at the token, one of eighteen skills — all eighteen read the same.
effect:altered-appearance	Close match	effect:bark-like-skin	jb2a.shimmer.01.green	psfx.magic-signs.rune.v1.transmutation.intro	Alter Self: the body shifts, a green shimmer over the token.
effect:animal-handling-guidance	Close match	effect:divine-favor	jb2a.markers.light.complete.blue	psfx.magic-signs.rune.v1.divination.intro	Guidance: a small light at the token, one of eighteen skills — all eighteen read the same.
effect:antipathy	Close match	effect:frightened	jb2a.markers.fear.dark_purple.03	psfx.magic-signs.rune.v1.enchantment.intro	Antipathy: a repulsion mark on the one driven away.
effect:aquatic-adaptation	Close match	effect:bark-like-skin	jb2a.shimmer.01.blue	psfx.casting.water.001	Alter Self, gills and fins: a blue shimmer over the token.
effect:arcana-guidance	Close match	effect:divine-favor	jb2a.markers.light.complete.blue	psfx.magic-signs.rune.v1.divination.intro	Guidance: a small light at the token, one of eighteen skills — all eighteen read the same.
effect:arguing	Close match	effect:banished	jb2a.markers.chain.diamond.loop.01.purple	psfx.magic-signs.rune.v1.abjuration.loop	Forcecage, arguing within: chains hold the token in place.
effect:asleep	Close match	effect:sleeping	jb2a.sleep.symbol.purple	psfx.1st-level-spells.sleep.v1.001	Asleep: the sleeping symbol over the token.
effect:athletic-guidance	Close match	effect:divine-favor	jb2a.markers.light.complete.blue	psfx.magic-signs.rune.v1.divination.intro	Guidance: a small light at the token, one of eighteen skills — all eighteen read the same.
effect:aura-of-life	Close match	effect:blessed	jb2a.template_circle.aura.01.loop.large.green	psfx.magic-signs.rune.v1.abjuration.loop	Aura of Life: a green aura held around the caster.
effect:aura-of-purity	Close match	effect:blessed	jb2a.template_circle.aura.01.loop.large.yellow	psfx.magic-signs.rune.v1.abjuration.loop	Aura of Purity: a clean gold aura held around the caster.
effect:befuddled	Close match	effect:confused	jb2a.markers.stun.purple.03	psfx.impacts.magicaleffects.psychic	Feeblemind: the stun mark, in psychic purple.
effect:bestial-communication	Close match	effect:universal-communication	jb2a.markers.runes.green02.03	psfx.magic-signs.rune.v1.divination.intro	Speak with Animals: runes at the token, green for the wild tongue.
effect:blinded	Close match	effect:searing-radiance	jb2a.markers.light.complete.yellow	psfx.class-features.divine-smite.v1.001.target	Blinded by radiance: a burst of white light at the eyes.
effect:blinded-deafened	Close match	effect:searing-radiance	jb2a.markers.light.complete.yellow	psfx.impacts.magicaleffects.psychic	Blinded and deafened: light at the token, and silence.
effect:blinded-deafened-stunned	Close match	effect:stunned	jb2a.markers.stun.dark_teal.03	psfx.impacts.magicaleffects.psychic	Power Word Stun's full measure: the stun mark.
effect:blinded-violet	Close match	effect:searing-radiance	jb2a.markers.light.complete.purple	psfx.magic-signs.rune.v1.abjuration.intro	Prismatic Wall, the violet layer: a violet blindness at the token.
effect:blindness	Close match	effect:searing-radiance	jb2a.icon.runes.dark_black	psfx.magic-signs.rune.v1.transmutation.intro	Blindness: the eyes go dark.
effect:blocked-healing	Close match	effect:lingering-acid	jb2a.markers.skull.dark_green.03	psfx.impacts.magicaleffects.necrotic	Chill Touch: a green skull marks the one who cannot be healed.
effect:bludgeoning-protection	Close match	effect:acid-protection	jb2a.markers.shield_rampart.loop.01.white	psfx.magic-signs.rune.v1.abjuration.outro	Resistance to bludgeoning: the rampart shield, as the five elemental protections already read.
effect:blurred	Close match	effect:ethereal	jb2a.shimmer.01.blue	psfx.magic-signs.rune.v1.illusion.intro	Blur: the token's outline goes soft.
effect:bonded-telepathy	Close match	effect:carrying-message	jb2a.markers.runes.blue.03	psfx.magic-signs.rune.v1.divination.intro	Rary's Telepathic Bond: linked runes at each mind.
effect:booming-voice	Close match	effect:stonecunning	jb2a.soundwave.01.orangeyellow	psfx.cantrips.thunderclap.v1	Thaumaturgy: the voice booms outward.
effect:bravery	Close match	effect:courageous	jb2a.condition.boon.01.001.red	psfx.conditions.boon.001.01	Heroism: a boon mark, temporary hit points and no fear.
effect:brief-enfeeblement	Close match	effect:stunned	jb2a.markers.skull.purple.03	psfx.impacts.magicaleffects.necrotic	Ray of Enfeeblement: a purple wasting mark.
effect:burial	Close match	effect:turning-to-stone	jb2a.impact.earth.01.browngreen	psfx.casting.earth.001	Imprisonment, buried: earth closes over the token.
effect:buried-in-rubble	Close match	effect:turning-to-stone	jb2a.falling_rocks.top.2x1.grey	psfx.casting.earth.001	Earthquake: rubble falls on the token.
effect:calmed	Close match	effect:charmed	jb2a.markers.light.complete.blue	psfx.magic-signs.rune.v1.enchantment.intro	Calm Emotions: a cool blue light settles the token.
effect:cannot-lie	Close match	effect:comprehension	jb2a.markers.runes.white.03	psfx.magic-signs.rune.v1.enchantment.intro	Zone of Truth: white runes bind the tongue.
effect:cataleptic	Close match	effect:suspended-animation	jb2a.sleep.symbol.green	psfx.1st-level-spells.sleep.v1.001	Feign Death: the body goes still.
effect:catatonic	Close match	effect:suspended-animation	jb2a.sleep.symbol.purple	psfx.impacts.magicaleffects.psychic	Magic Jar, the body left behind: the sleeping symbol.
effect:chaining	Close match	effect:banished	jb2a.markers.chain.diamond.loop.01.grey	psfx.magic-signs.rune.v1.abjuration.loop	Imprisonment, chained: chains hold the token.
effect:changed-appearance	Close match	effect:bark-like-skin	jb2a.shimmer.01.purple	psfx.magic-signs.rune.v1.illusion.intro	Seeming: a violet shimmer as the look changes.
